timestamp;process_stage;active_power_mw;reactive_power_mvar;power_factor;electrode_current_1_ka;electrode_current_2_ka;electrode_current_3_ka;arc_voltage_v;short_circuit_current_ka;electrode_impedance_1_mohm;electrode_impedance_2_mohm;electrode_impedance_3_mohm;harmonic_distortion_percent;flicker_severity;bath_temperature_c;roof_temperature_c;exhaust_gas_temp_c;cooling_water_temp_in_c;cooling_water_temp_out_c;refractory_wear_rate_mm_per_heat;heat_loss_through_walls_mw;carbon_content_percent;silicon_content_percent;manganese_content_percent;phosphorus_content_percent;sulfur_content_percent;oxygen_activity_ppm;nitrogen_content_ppm;hydrogen_content_ppm;aluminum_content_percent;offgas_flow_rate_knm3_per_h;co_content_percent;co2_content_percent;h2_content_percent;o2_content_percent;dust_content_g_per_m3;baghouse_differential_pressure_pa;slag_basicity;feo_content_in_slag_percent;mgo_content_in_slag_percent;slag_viscosity_pa_s;slag_temperature_c;slag_weight_tons;electrode_consumption_rate_kg_per_t;electrode_position_1_mm;electrode_position_2_mm;electrode_position_3_mm;furnace_pressure_pa;vibration_level_mm_per_s;specific_energy_consumption_kwh_per_t;oxygen_injection_rate_nm3_per_min;carbon_injection_rate_kg_per_min;lime_injection_rate_kg_per_min;scrap_to_hot_metal_ratio;arc_noise_level_db;frequency_spectrum_100hz_db;frequency_spectrum_1000hz_db;frequency_spectrum_5000hz_db;wall_refractory_thickness_mm;hearth_refractory_thickness_mm;heats_since_relining;expected_remaining_heats;efficiency_percent
2025-01-01 00:50:00;melting;78.42;52.67;0.886;44.7;48.84;50.47;413.1;116.8;2.945;2.877;3.277;7.12;3.44;1654.8;914.6;1494.6;26.8;45.3;0.928;7.71;0.081;0.176;0.205;0.0125;0.0099;659.4;121.3;6.41;0.0365;195.5;76.9;16.3;7.9;1.07;18.89;985.0;2.14;26.2;7.9;0.364;1555.9;46.7;2.32;984.0;801.0;806.0;-12.5;4.4;423.9;35.5;125.8;102.6;0.628;116.2;62.3;62.0;49.8;365.0;544.0;1239;285;81.3
2025-01-01 00:55:00;charging;66.78;61.21;0.861;43.89;57.59;45.09;353.0;130.9;3.445;2.723;3.34;6.51;3.98;1601.2;776.8;1557.2;27.2;44.7;0.839;15.56;0.09;0.152;0.349;0.0149;0.0172;515.8;119.0;7.57;0.0376;177.3;55.7;14.6;8.6;1.29;14.97;1345.0;3.3;19.6;8.2;0.37;1546.9;56.6;1.8;1001.0;807.0;1078.0;-18.0;3.71;413.1;37.0;135.6;128.4;0.711;99.3;93.2;66.2;59.6;510.0;560.0;292;781;60.0
2025-01-01 01:00:00;melting;93.92;46.69;0.761;41.21;39.16;44.02;362.1;116.0;3.694;3.11;3.676;6.0;3.01;1651.6;800.8;1391.1;21.3;49.1;1.006;15.5;0.105;0.121;0.176;0.0057;0.0099;405.6;112.2;4.22;0.0191;168.0;63.5;15.9;6.6;1.25;20.48;1331.0;3.05;30.8;7.5;0.193;1554.5;61.5;2.08;787.0;806.0;940.0;-21.6;3.86;394.2;37.9;148.5;99.4;0.811;137.5;65.3;78.1;79.6;426.0;530.0;2331;579;65.79
2025-01-01 01:05:00;charging;98.1;50.07;0.873;44.09;47.51;52.55;309.3;151.2;2.732;3.529;3.554;11.8;4.57;1665.4;813.7;1616.2;26.2;47.6;0.712;12.56;0.08;0.179;0.337;0.0106;0.0139;578.4;155.7;4.69;0.0187;162.7;62.0;16.4;9.0;1.31;18.63;1077.0;2.77;17.0;7.7;0.291;1564.5;33.9;2.0;633.0;771.0;965.0;-19.0;5.16;368.7;39.5;215.9;100.9;0.708;122.1;80.0;91.4;67.9;477.0;597.0;2772;894;77.21
2025-01-01 01:10:00;oxidation;95.06;43.14;0.858;41.92;41.02;43.74;369.2;110.6;3.506;3.486;2.787;8.93;5.49;1616.3;887.1;1578.4;25.8;44.7;0.645;13.09;0.075;0.221;0.291;0.021;0.018;406.5;119.2;4.13;0.0305;238.6;68.6;8.5;3.2;0.87;14.89;1756.0;2.08;29.3;7.7;0.293;1580.8;45.4;1.56;686.0;810.0;992.0;-11.7;4.86;402.5;26.5;203.1;112.1;0.817;120.7;78.4;51.1;48.4;437.0;567.0;1204;954;60.0
2025-01-01 01:15:00;charging;104.65;33.77;0.874;45.39;37.88;43.18;404.8;113.2;2.444;3.212;3.606;5.59;4.25;1631.5;858.7;1363.5;17.8;43.8;0.71;15.15;0.102;0.158;0.322;0.0185;0.0186;623.3;176.5;5.67;0.0287;183.1;69.4;16.3;8.1;0.79;26.16;1349.0;2.7;20.1;9.6;0.291;1586.0;32.4;1.55;810.0;879.0;905.0;-16.6;3.41;362.7;25.0;200.7;109.8;0.685;110.5;90.2;71.1;64.4;531.0;759.0;2727;267;60.0
2025-01-01 01:20:00;melting;80.57;36.94;0.827;50.34;43.55;55.64;346.5;113.8;3.264;3.323;3.124;8.25;3.04;1651.9;712.5;1477.1;22.8;45.1;0.735;16.58;0.045;0.116;0.349;0.0166;0.0147;438.6;82.1;5.69;0.0192;192.4;69.3;13.0;7.0;1.33;20.4;987.0;3.0;21.1;9.8;0.279;1558.7;40.3;1.73;1049.0;680.0;1151.0;-13.8;5.8;358.0;22.4;157.7;125.8;0.715;128.8;79.0;89.6;69.4;370.0;457.0;750;1109;60.0
2025-01-01 01:25:00;melting;66.16;49.85;0.957;38.34;45.83;40.1;339.5;137.1;2.835;3.127;2.971;10.1;6.17;1615.2;670.1;1367.6;28.4;47.6;0.79;19.01;0.108;0.189;0.156;0.0121;0.012;376.6;141.5;6.74;0.0274;175.1;56.8;12.6;6.8;1.16;14.24;1364.0;2.79;22.7;8.7;0.313;1587.2;40.8;2.19;707.0;835.0;1076.0;-16.7;4.66;353.3;46.8;146.7;103.2;0.614;104.5;88.6;77.8;60.5;352.0;727.0;1076;865;68.36
2025-01-01 01:30:00;oxidation;82.25;52.65;0.927;53.4;44.61;49.23;422.1;106.4;3.194;2.527;2.865;7.77;2.85;1622.3;911.8;1573.2;30.0;50.8;1.073;18.65;0.123;0.167;0.232;0.0138;0.0103;368.3;125.1;4.94;0.0215;172.3;72.4;18.6;6.2;1.3;9.88;1329.0;2.93;13.9;5.8;0.263;1588.5;60.6;1.84;946.0;831.0;595.0;-20.3;3.15;451.4;48.5;182.5;138.0;0.958;107.0;64.2;69.2;70.9;384.0;855.0;1465;573;62.68
2025-01-01 01:35:00;oxidation;74.25;58.5;0.881;43.35;40.18;43.33;440.5;139.7;2.957;3.327;3.619;7.26;4.25;1639.8;775.5;1258.9;20.7;54.9;0.696;16.39;0.055;0.105;0.263;0.0123;0.0129;448.0;88.2;5.92;0.0361;156.5;66.2;8.9;10.8;1.7;16.0;1044.0;2.53;24.2;11.7;0.258;1575.0;45.4;2.03;900.0;1056.0;780.0;-17.0;2.04;389.6;31.3;238.7;97.7;0.909;111.6;89.5;75.3;71.4;438.0;690.0;1419;205;67.74
2025-01-01 01:40:00;oxidation;77.74;54.27;0.982;39.65;46.05;46.13;324.7;124.6;2.004;2.447;3.58;8.24;5.88;1633.8;786.8;1304.5;22.7;42.4;0.949;12.38;0.051;0.129;0.388;0.0104;0.0129;548.2;156.1;5.59;0.013;198.3;65.8;14.6;7.1;1.82;23.85;1227.0;2.82;16.8;6.1;0.144;1573.7;52.0;2.16;802.0;604.0;829.0;-4.5;2.52;414.9;46.4;131.6;116.5;0.732;105.6;78.4;61.2;65.1;503.0;793.0;1400;389;63.47
2025-01-01 01:45:00;charging;77.6;47.7;0.873;38.35;39.74;40.66;432.2;126.4;2.836;3.178;3.387;5.02;4.02;1597.4;925.7;1384.1;23.3;52.9;0.869;11.94;0.104;0.134;0.262;0.0153;0.0099;497.1;154.4;4.13;0.023;152.2;64.9;12.7;3.8;1.66;15.21;947.0;2.96;17.5;7.4;0.306;1557.5;55.0;1.99;822.0;933.0;649.0;-5.1;4.29;396.4;30.7;206.5;145.5;0.73;95.1;77.9;67.2;63.0;524.0;592.0;540;726;68.8
2025-01-01 01:50:00;charging;67.15;27.49;0.981;44.15;43.18;46.2;457.2;108.5;2.643;3.543;2.681;9.65;3.58;1621.0;825.3;1492.5;24.3;51.4;0.631;14.98;0.095;0.172;0.115;0.0145;0.0196;195.3;92.9;5.33;0.0223;138.7;76.7;15.5;9.0;1.19;15.14;1249.0;2.11;25.6;8.2;0.336;1575.6;61.3;2.02;873.0;691.0;712.0;-17.6;6.39;372.6;28.2;178.9;117.2;0.754;100.7;74.0;100.8;75.7;414.0;613.0;910;557;60.0
2025-01-01 01:55:00;oxidation;78.18;53.13;0.925;47.51;42.87;39.76;291.9;147.9;2.919;3.066;3.344;7.38;4.31;1603.4;931.8;1502.5;27.4;53.9;0.757;19.31;0.074;0.064;0.295;0.0183;0.0077;556.1;107.6;3.5;0.0219;181.5;70.5;14.7;10.7;1.7;19.14;1052.0;2.3;13.2;7.0;0.272;1565.0;42.7;1.57;666.0;732.0;785.0;-1.8;2.42;400.6;35.7;237.8;99.7;0.861;105.1;78.9;75.6;58.2;357.0;637.0;380;844;66.1
2025-01-01 02:00:00;tapping;103.26;44.72;0.792;50.47;43.57;42.46;358.9;129.3;2.991;3.477;2.388;7.84;3.81;1599.0;763.8;1417.2;26.0;49.4;0.882;15.82;0.13;0.192;0.424;0.015;0.0092;360.2;114.5;5.55;0.0061;192.0;78.9;16.2;5.9;1.33;13.96;1390.0;2.62;16.7;8.1;0.392;1529.4;58.4;2.04;790.0;805.0;745.0;-10.3;4.08;407.0;49.9;221.6;133.2;0.865;113.7;99.4;87.6;55.7;399.0;685.0;2567;826;61.48
2025-01-01 02:05:00;charging;76.87;37.26;1.001;37.65;39.66;43.71;423.8;100.6;2.987;3.533;3.204;7.28;6.25;1628.3;999.4;1466.8;22.4;46.2;0.792;13.34;0.139;0.104;0.348;0.0238;0.0122;560.8;141.8;5.39;0.0088;161.3;54.5;15.9;5.8;1.17;15.52;1111.0;2.97;16.4;6.9;0.184;1576.7;61.8;1.05;841.0;956.0;1185.0;-17.1;3.72;408.5;26.8;183.3;100.5;0.883;127.7;77.9;81.7;62.2;552.0;587.0;555;702;60.0
2025-01-01 02:10:00;tapping;69.07;52.24;0.933;41.91;46.17;44.78;423.6;137.2;3.513;3.801;2.851;7.16;3.72;1637.4;910.2;1255.4;25.8;46.6;0.968;13.44;0.096;0.099;0.092;0.0168;0.0175;396.0;137.3;4.45;0.0231;151.0;58.3;13.4;9.2;1.02;13.67;1133.0;2.92;22.4;8.1;0.259;1577.2;36.2;1.25;786.0;822.0;997.0;-14.0;4.13;349.4;20.7;183.8;127.3;0.766;132.9;86.2;52.3;68.1;488.0;777.0;1843;366;60.0
2025-01-01 02:15:00;tapping;93.38;37.73;0.947;47.44;38.17;38.01;412.1;103.3;3.41;2.213;2.623;6.71;5.36;1618.9;734.4;1332.5;26.7;38.7;1.043;13.47;0.054;0.129;0.298;0.0157;0.0125;446.7;80.7;3.63;0.0133;189.8;48.9;21.4;4.9;1.38;18.86;1257.0;2.88;21.7;5.6;0.356;1593.9;37.7;2.17;828.0;853.0;722.0;-20.0;3.8;304.5;35.6;195.8;139.9;0.767;122.3;98.7;60.1;31.2;476.0;568.0;936;590;67.9
2025-01-01 02:20:00;charging;73.42;45.18;0.826;45.61;46.56;50.29;358.1;101.3;2.675;3.758;3.545;8.76;4.51;1640.2;911.9;1740.8;20.2;51.9;0.974;13.28;0.069;0.181;0.387;0.0098;0.0099;519.0;142.4;2.89;0.0112;206.5;56.1;16.0;11.1;1.3;22.87;1423.0;2.85;14.1;8.0;0.271;1581.5;40.3;1.59;840.0;952.0;850.0;-16.6;3.39;427.4;23.8;167.1;138.4;0.733;112.6;88.0;74.2;52.4;481.0;602.0;2141;842;73.71
2025-01-01 02:25:00;melting;81.23;42.45;0.824;45.34;47.28;44.22;396.6;114.0;3.373;2.693;3.476;10.21;6.09;1616.4;890.9;1298.2;21.8;51.8;0.626;14.62;0.051;0.135;0.325;0.0144;0.0115;447.2;122.3;5.12;0.0197;147.3;62.1;14.1;10.8;1.3;22.04;1179.0;2.37;25.3;11.0;0.047;1623.0;37.2;1.65;930.0;843.0;854.0;-0.7;2.77;438.4;42.1;227.0;118.2;0.779;111.9;70.1;75.8;80.7;357.0;705.0;2479;271;64.67
2025-01-01 02:30:00;charging;84.26;36.99;0.793;45.36;49.41;48.98;381.2;119.9;2.911;3.181;3.269;10.13;3.77;1627.6;640.5;1413.7;17.5;43.0;0.587;16.45;0.07;0.164;0.223;0.0147;0.0102;507.1;166.4;6.57;0.024;190.3;62.3;20.9;10.0;1.04;20.97;1230.0;2.99;17.1;4.5;0.396;1547.8;41.4;1.58;860.0;853.0;614.0;-12.2;4.51;420.9;28.7;190.0;100.7;0.786;137.4;80.9;86.9;60.3;494.0;712.0;2240;1190;74.9
2025-01-01 02:35:00;charging;73.65;37.34;0.879;47.0;44.77;44.49;390.8;138.3;3.153;3.367;2.552;8.27;1.66;1626.5;799.5;1419.2;21.8;53.3;0.48;23.25;0.129;0.095;0.231;0.0158;0.0109;368.5;115.2;3.53;0.0256;192.8;74.3;16.5;5.9;1.46;22.19;1240.0;2.27;17.6;8.5;0.248;1582.8;33.5;1.77;845.0;824.0;908.0;-19.5;3.28;421.0;28.5;137.2;135.7;1.034;106.8;58.8;96.2;73.7;428.0;591.0;966;1115;60.0
2025-01-01 02:40:00;melting;79.18;57.47;0.881;36.24;51.27;37.93;364.4;116.4;3.278;3.474;3.445;6.69;4.71;1609.5;741.5;1395.7;23.3;53.1;0.716;16.5;0.064;0.197;0.271;0.0198;0.0076;533.6;123.0;7.05;0.0209;190.8;73.9;14.8;7.3;0.8;18.79;1769.0;2.44;20.0;7.6;0.302;1585.0;35.7;2.09;903.0;897.0;941.0;-17.1;2.83;420.6;34.3;142.7;152.4;0.654;124.7;83.3;84.2;58.1;473.0;410.0;965;456;60.0
2025-01-01 02:45:00;melting;97.07;52.69;0.945;43.18;42.5;52.22;348.5;95.2;3.784;3.083;2.747;9.57;6.18;1655.3;711.5;1364.5;22.7;42.4;0.619;14.91;0.069;0.192;0.249;0.0168;0.0135;457.0;150.7;3.27;0.0339;146.5;69.3;16.5;12.1;1.48;22.4;906.0;3.14;19.8;8.2;0.272;1583.1;35.5;2.01;934.0;1036.0;808.0;-13.4;5.98;330.4;35.7;185.1;115.0;0.817;105.8;75.3;73.4;59.1;432.0;572.0;2249;1198;69.45
2025-01-01 02:50:00;reduction;83.21;45.39;0.933;48.71;43.31;49.94;416.0;106.0;2.957;3.125;3.485;6.45;2.47;1576.5;920.3;1498.8;22.2;53.2;0.994;15.59;0.073;0.147;0.222;0.029;0.0081;295.5;152.9;4.87;0.0427;178.6;80.0;10.8;7.9;1.08;20.48;1244.0;3.74;17.1;10.5;0.229;1546.2;56.7;1.81;756.0;983.0;695.0;-18.5;3.24;416.9;25.4;156.1;122.1;0.81;121.8;94.4;63.4;61.3;485.0;622.0;1674;250;60.0
2025-01-01 02:55:00;oxidation;97.37;63.92;0.957;43.3;40.74;42.67;419.5;131.1;2.836;3.276;2.903;8.94;3.72;1661.0;800.7;1382.2;24.5;53.8;0.886;15.78;0.124;0.154;0.289;0.0068;0.0085;358.5;144.0;3.45;0.0375;179.9;52.5;16.7;10.4;1.18;22.95;1489.0;3.09;25.1;11.6;0.165;1522.2;50.3;2.04;896.0;759.0;753.0;-16.9;2.13;367.3;36.8;156.4;127.7;0.757;123.5;78.7;52.4;64.9;477.0;779.0;615;693;60.0
2025-01-01 03:00:00;melting;82.4;49.94;0.8;35.75;39.28;45.45;427.3;102.4;3.33;2.404;2.454;6.16;4.26;1611.8;817.1;1568.0;20.5;48.8;0.532;17.94;0.034;0.089;0.221;0.0167;0.0099;457.5;92.0;3.95;0.0226;171.6;59.9;15.8;6.2;1.0;15.56;1283.0;2.93;25.0;10.5;0.098;1562.5;52.6;1.7;957.0;962.0;715.0;-16.1;2.62;343.5;33.2;173.1;109.1;0.744;130.7;102.3;91.8;75.0;537.0;668.0;1639;1035;60.55
2025-01-01 03:05:00;tapping;83.37;37.77;0.997;50.89;42.24;33.54;291.7;132.0;2.54;3.189;3.292;9.58;3.28;1562.5;698.7;1484.2;26.1;50.7;0.685;16.35;0.026;0.09;0.359;0.017;0.0079;308.4;91.3;5.69;0.0088;159.9;74.9;11.4;9.3;1.49;11.01;1100.0;2.37;28.2;4.9;0.233;1585.8;57.4;2.04;791.0;1053.0;901.0;-24.0;3.14;361.7;29.0;136.6;126.7;0.754;99.6;88.6;78.7;60.7;363.0;800.0;2214;647;60.0
2025-01-01 03:10:00;reduction;96.45;39.13;0.912;47.75;45.89;52.11;359.3;115.6;3.884;3.125;2.812;8.28;4.1;1634.4;686.5;1480.9;26.1;45.5;0.76;13.72;0.065;0.126;0.084;0.0103;0.0095;387.6;95.4;3.8;0.0233;195.2;67.1;15.7;9.0;1.04;16.81;1344.0;2.61;20.2;6.4;0.237;1601.2;38.8;1.96;838.0;809.0;780.0;-22.1;3.18;414.3;25.7;160.6;101.6;0.713;101.7;81.4;70.3;57.0;413.0;430.0;251;519;76.14
2025-01-01 03:15:00;melting;79.41;49.37;0.82;35.61;46.17;43.48;356.1;115.5;2.968;2.387;3.448;7.62;2.74;1575.8;933.0;1247.4;27.0;50.5;0.941;19.9;0.092;0.085;0.368;0.0113;0.0133;328.1;137.3;5.07;0.0263;216.8;71.8;18.5;7.0;1.42;13.71;1188.0;2.07;24.3;10.8;0.144;1569.7;59.0;1.81;798.0;848.0;722.0;-10.5;3.04;369.7;42.3;175.9;101.3;0.828;118.5;58.0;65.5;60.1;458.0;786.0;2537;878;72.38
2025-01-01 03:20:00;tapping;102.15;47.36;0.836;50.35;48.58;48.62;282.4;112.9;3.043;3.588;3.419;7.8;2.58;1578.2;855.6;1559.7;27.0;43.3;0.951;17.53;0.086;0.193;0.198;0.0141;0.0084;294.0;123.4;4.14;0.0156;230.1;66.1;14.4;6.0;1.43;20.5;1096.0;3.19;33.0;6.0;0.255;1597.9;54.9;1.69;754.0;979.0;952.0;-15.6;4.04;361.1;40.6;228.3;132.6;0.872;105.6;110.1;57.1;71.8;539.0;843.0;815;1105;79.53
2025-01-01 03:25:00;reduction;92.25;35.31;0.79;35.43;41.33;45.15;367.8;119.3;2.843;2.702;3.26;4.74;4.74;1562.8;742.3;1435.5;28.8;47.2;0.673;16.47;0.123;0.147;0.169;0.0212;0.0126;467.1;133.3;3.92;0.0203;183.5;65.2;14.2;6.8;1.14;21.06;1360.0;2.81;20.9;8.0;0.27;1541.4;40.5;1.98;568.0;847.0;917.0;-8.0;4.78;341.1;43.5;215.4;147.0;0.634;119.5;104.5;88.7;76.3;482.0;665.0;1173;334;60.0
2025-01-01 03:30:00;reduction;92.87;34.31;0.84;40.46;52.11;42.26;321.0;148.1;3.212;3.571;2.909;5.7;5.22;1625.9;751.0;1682.8;27.9;47.7;0.688;13.28;0.072;0.115;0.268;0.0236;0.0127;390.1;90.5;3.03;0.0141;199.5;79.0;11.0;9.2;1.23;21.91;1014.0;3.01;24.0;8.8;0.129;1531.5;32.8;1.38;644.0;1035.0;786.0;-16.5;3.61;372.0;30.6;183.4;111.2;0.564;122.7;88.0;78.1;71.4;528.0;723.0;200;851;60.0
2025-01-01 03:35:00;melting;90.79;45.97;0.904;46.47;42.41;46.01;400.8;119.6;2.846;3.315;2.642;5.31;4.48;1628.6;866.2;1593.2;26.0;49.8;0.792;16.13;0.122;0.109;0.148;0.0183;0.0102;494.0;58.4;0.91;0.0117;172.7;59.5;11.3;8.9;1.04;10.83;1177.0;2.78;12.5;9.5;0.187;1568.3;46.3;1.76;794.0;902.0;1076.0;-12.5;2.13;351.7;32.6;208.7;146.5;0.625;97.5;81.9;64.1;77.4;488.0;772.0;2320;506;60.16
2025-01-01 03:40:00;reduction;85.14;42.39;0.806;44.87;51.52;47.02;351.5;134.4;3.649;3.8;2.779;9.86;3.98;1607.4;859.9;1378.8;22.6;49.3;0.851;18.09;0.113;0.173;0.342;0.0202;0.011;370.2;92.2;3.68;0.0234;171.4;56.1;12.0;6.9;1.08;18.2;1244.0;2.44;24.0;8.2;0.267;1582.3;54.0;1.95;611.0;1060.0;676.0;-9.4;3.06;330.7;17.3;248.6;151.1;0.77;122.1;89.0;74.1;60.9;458.0;768.0;2741;952;60.0
2025-01-01 03:45:00;oxidation;92.44;52.31;0.826;43.19;48.12;41.1;393.3;141.7;2.572;2.765;2.79;10.18;6.07;1634.1;973.7;1441.7;25.8;41.1;1.153;14.08;0.04;0.156;0.356;0.0159;0.0106;494.1;176.6;4.11;0.0121;222.4;92.7;10.9;6.3;1.4;18.28;1021.0;2.88;23.9;6.4;0.269;1614.7;33.7;1.81;886.0;727.0;721.0;-11.9;3.02;329.1;41.8;243.8;89.8;0.719;114.5;98.0;88.5;75.6;370.0;556.0;238;533;65.06
